year,city,avg_temp
1872,Munich,5.51
1873,Munich,4.77
1874,Munich,4.18
1875,Munich,3.96
1876,Munich,4.64
1877,Munich,4.79
1878,Munich,4.26
1879,Munich,3.53
1880,Munich,4.74
1881,Munich,4.24
1882,Munich,4.58
1883,Munich,4.16
1884,Munich,4.67
1885,Munich,4.47
1886,Munich,4.61
1887,Munich,3.41
1888,Munich,3.69
1889,Munich,3.72
1890,Munich,3.67
1891,Munich,3.70
1892,Munich,4.45
1893,Munich,4.44
1894,Munich,4.52
1895,Munich,4.00
1896,Munich,3.84
1897,Munich,4.67
1898,Munich,5.13
1899,Munich,4.72
1900,Munich,5.00
1901,Munich,4.01
1902,Munich,4.24
1903,Munich,4.57
1904,Munich,5.07
1905,Munich,4.31
1906,Munich,4.48
1907,Munich,4.38
1908,Munich,3.98
1909,Munich,3.75
1910,Munich,4.47
1911,Munich,5.22
1912,Munich,4.13
1913,Munich,4.66
1914,Munich,4.43
1915,Munich,4.39
1916,Munich,4.90
1917,Munich,3.91
1918,Munich,4.75
1919,Munich,3.85
1920,Munich,5.29
1921,Munich,5.48
1922,Munich,3.93
1923,Munich,4.88
1924,Munich,4.11
1925,Munich,4.42
1926,Munich,5.11
1927,Munich,4.86
1928,Munich,5.19
1929,Munich,4.13
1930,Munich,5.24
1931,Munich,3.88
1932,Munich,4.61
1933,Munich,3.88
1934,Munich,5.59
1935,Munich,4.57
1936,Munich,4.88
1937,Munich,5.20
1938,Munich,4.82
1939,Munich,4.49
1940,Munich,3.45
1941,Munich,3.80
1942,Munich,4.28
1943,Munich,5.56
1944,Munich,4.28
1945,Munich,5.20
1946,Munich,5.14
1947,Munich,5.51
1948,Munich,5.49
1949,Munich,5.55
1950,Munich,5.44
1951,Munich,5.29
1952,Munich,4.67
1953,Munich,5.22
1954,Munich,4.27
1955,Munich,4.39
1956,Munich,3.58
1957,Munich,5.11
1958,Munich,4.93
1959,Munich,5.51
1960,Munich,4.97
1961,Munich,5.85
1962,Munich,3.94
1963,Munich,3.99
1964,Munich,4.92
1965,Munich,4.08
1966,Munich,5.10
1967,Munich,5.18
1968,Munich,4.68
1969,Munich,4.42
1970,Munich,4.41
1971,Munich,4.86
1972,Munich,4.69
1973,Munich,4.57
1974,Munich,5.23
1975,Munich,5.20
1976,Munich,4.95
1977,Munich,5.32
1978,Munich,4.32
1979,Munich,4.87
1980,Munich,4.19
1981,Munich,4.82
1982,Munich,5.51
1983,Munich,5.60
1984,Munich,4.43
1985,Munich,4.52
1986,Munich,4.85
1987,Munich,4.69
1988,Munich,5.64
1989,Munich,5.88
1990,Munich,5.92
1991,Munich,4.93
1992,Munich,5.91
1993,Munich,5.33
1994,Munich,6.64
1995,Munich,5.33
1996,Munich,4.49
1997,Munich,5.79
1998,Munich,5.66
1999,Munich,5.55
2000,Munich,6.33
2001,Munich,5.59
2002,Munich,6.26
2003,Munich,6.12
2004,Munich,5.43
2005,Munich,5.01
2006,Munich,5.94
2007,Munich,6.28
2008,Munich,5.94
2009,Munich,5.89
2010,Munich,4.85
2011,Munich,6.56
2012,Munich,5.88
2013,Munich,6.00
